spec,site,unit,county
41sy43-1,sy43,sabineNF,shelby
41sy43-13-1191,sy43,sabineNF,shelby
41sy43-19,sy43,sabineNF,shelby
41sy43-fsn1-830,sy43,sabineNF,shelby
41sy43-k2-2737,sy43,sabineNF,shelby
41sy43-k6-1020,sy43,sabineNF,shelby
41sy43-k8-17,sy43,sabineNF,shelby
41sy43-lot1035,sy43,sabineNF,shelby
41tn91-u1-010,tn91,davycNF,trinity
41tn91-u1-2030,tn91,davycNF,trinity
41tn91-u2-1020,tn91,davycNF,trinity
41tn91-u2-lot17,tn91,davycNF,trinity
41tn91-u3-2030,tn91,davycNF,trinity
41tn91-u4-020,tn91,davycNF,trinity
41tn91-u4-4050,tn91,davycNF,trinity
41tn91-u4-5060,tn91,davycNF,trinity
41tn91-u6-3040,tn91,davycNF,trinity
41tn91-u7-3040,tn91,davycNF,trinity
41tn91-u8-1020,tn91,davycNF,trinity
41sa66,sa66,angelinaNF,san-augustine
41sa66-4,sa66,angelinaNF,san-augustine
41sa66-5,sa66,angelinaNF,san-augustine
41sa66-6,sa66,angelinaNF,san-augustine
41sb125-2-lot100,sb125,sabineNF,sabine
41sb125-3-lot99,sb125,sabineNF,sabine
41sb125-11-lot50,sb125,sabineNF,sabine
41sb189-9-lot17,sb189,sabineNF,sabine
41sb189-10-lot17,sb189,sabineNF,sabine
41sb291-4-lot245,sb291,sabineNF,sabine
41sb291-9-lot229,sb291,sabineNF,sabine
41sy258-st2-1020,sy258,sabineNF,shelby
41sy258-st3-2030,sy258,sabineNF,shelby
